"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"radonb","Wk-30949","3430","25","3673","128","","","Murska Sobota","Murska Sobota","","hearth","","Somogyvár-Vinkovci","Early Bronze Age","","charcoal","SE 136","Slovenia                                                                                            ","46.6586","16.161899999999999",""
"radonb","LTL-5035A","3671","40","4004","119","","","Parma-Via Guido Rossi","Parma-Via Guido Rossi","","","","","Bell Beaker","","collagen, bone","Human bone","Italy                                                                                               ","44.782899999999998","10.2964",""
"radonb","Bln-3124","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","VERA-4449","2440","35","2489","196","","","Mauk E","Mauk E","mine","Coppermine S1, Halde 36, Ha B/C","","Ha B","Urnfield Culture | Late Bronze Age","","charcoal","wood","Austria                                                                                             ","47.4375","11.952400000000001",""
"radonb","KIA-37266","2735","20","2819","40","-20.28","","Kapiteljska njiva","Kapiteljska njiva","Grave (flat) cremation","grave 140","","","Iron Age | Late Bronze Age","","cremated bones","human","Slovenia                                                                                            ","45.813200000000002","15.159000000000001",""
"radonb","ETH-59906","3398","30","3641","64","","","Val Urschai","Val Urschai","rockshelter","R3, Probe 3","","","","","charcoal","","Switzerland                                                                                         ","46.6203","10.3818",""
"radonb","Hd-10692","3655","35","3975","103","","","Singen","Singen","Grave","","","","Bell Beaker | Corded Ware | Early Bronze Age","","","","Germany                                                                                             ","47.762799999999999","8.8399999999999999",""
"radonb","Hd-10691","3730","40","4078","133","","","Singen","Singen","Grave","","","","Bell Beaker | Corded Ware | Early Bronze Age","","","","Germany                                                                                             ","47.762799999999999","8.8399999999999999",""
"radonb","Bln-3128","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Bln-3736","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Z-3178","3710","75","4055","215","","","Za Raščico","Za Raščico","well","SE 539, pit","","","Early Bronze Age | Iron Age","","charcoal","","Slovenia                                                                                            ","46.619300000000003","16.150600000000001",""
"radonb","Bln-3734","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Bln-3380","3750","80","4116","248","","","Rances, Champ Vully Est","Rances, Champ Vully Est","","","","","Bell Beaker","","","","Switzerland                                                                                         ","46.759999999999998","6.5303000000000004",""
"radonb","ETH-59909","3355","30","3597","88","","","Val Urschai","Val Urschai","rockshelter","R3, Probe 6","","","","","charcoal","","Switzerland                                                                                         ","46.6203","10.3818",""
"radonb","ETH-61974","2707","31","2804","49","","","Ramosch-Mottata","Ramosch-Mottata","settlement","RMO16","","","Bronze Age","","collagen, bone","bone cattle (Bos taurus)","Switzerland                                                                                         ","46.835000000000001","10.366400000000001",""
"radonb","Bln-1633","3930","65","4361","188","","","Nagykanizsa","Nagykanizsa","","","","Baden-Ossarn I","Baden","","","","Hungary                                                                                             ","46.453299999999999","16.9908",""
"radonb","NIESÄ-15869","","","","","","","Bellenberg","Bellenberg","settlement","Düsengrube","","","Iron Age | Middle Bronze Age | Late Bronze Age","","charcoal","","Germany                                                                                             ","48.256","10.089499999999999",""
